City,Street
Fort Collins,42 Elm Street
Savannah,123 Oak Avenue
Boise,7 Pine Lane
Sioux Falls,99 Maple Drive
Ann Arbor,15 Cedar Road
Salem,28 Willow Court
Provo,6 Birch Place
Manchester,87 Spruce Way
Charleston,34 Redwood Trail
Fargo,56 Aspen Circle
Billings,78 Sycamore Boulevard
Bend,21 Hickory Hill
Gainesville,65 Walnut Ridge
Lafayette,10 Cherry Tree Lane
Bloomington,80 Dogwood Path
Trenton,39 Laurel Street
Waterbury,94 Clover Lane
Pocatello,51 Fern Avenue
Lawrence,26 Poppy Drive
Anchorage,73 Tulip Court
